Student ID,First Name,Last Name,Year of Enrollment,Year of Graduation,Dropout Year,Major,SAT Scores,Household Income,Pell Grant Status,White
155,Alice,Miller,2009,2013,,Non-STEM,837,78947,0,0
156,Jane,Jones,2004,2008,,STEM,1048,66428,0,0
157,Mike,Williams,2002,,2003,Non-STEM,1337,79276,0,1
158,Sara,Johnson,2016,2020,,Non-STEM,914,64607,0,1
159,Tom,Jones,2001,,2003,STEM,665,71284,0,0
160,Alice,Johnson,2004,2008,,STEM,1058,92753,0,1
161,Tom,Miller,2013,2017,,Non-STEM,1039,63740,0,1
162,Alice,Jones,2017,2021,,Non-STEM,1145,28960,1,1
163,Mike,Jones,2009,2013,,STEM,1015,18751,1,1
164,Tom,Brown,2002,,2003,STEM,886,106667,0,0
165,Alice,Brown,2001,,2004,Non-STEM,1098,76406,0,1
166,Jane,Johnson,2013,,2016,Non-STEM,1067,94831,0,1
167,Sara,Johnson,2019,,2022,Non-STEM,1344,81687,0,1
168,Sara,Smith,2004,2008,,Non-STEM,972,42362,1,1
169,Jane,Williams,2013,,2014,STEM,1432,72218,0,1
170,Sara,Williams,2012,,,STEM,1221,44811,1,0
171,Jane,Jones,2015,,2016,Non-STEM,961,83355,0,1
172,Alice,Williams,2022,,,STEM,991,10980,1,1
173,Mike,Williams,2009,2013,,Non-STEM,951,11976,1,0
174,Alice,Williams,2016,,2017,STEM,1560,8652,1,1
175,John,Williams,2012,,2015,Non-STEM,976,98935,0,0
176,Alice,Miller,2016,,2018,STEM,1059,82303,0,1
177,Mike,Jones,2019,2023,,Non-STEM,994,86105,0,1
178,Alice,Smith,2020,,2022,STEM,1031,58592,1,1
179,Jane,Brown,2021,2025,,Non-STEM,995,69756,0,1
180,Tom,Johnson,2017,,,STEM,887,26454,1,1
181,Tom,Miller,2011,,,STEM,1429,58765,1,0
182,Mike,Smith,2017,2021,,STEM,895,74144,0,1
183,Sara,Johnson,2004,2008,,Non-STEM,1422,60517,0,1
184,Jane,Johnson,2015,,,Non-STEM,1249,110739,0,1
185,Mike,Brown,2020,,2023,STEM,857,106517,0,1
186,John,Jones,2023,,2025,STEM,1091,48243,1,0
187,Alice,Smith,2021,,,STEM,1157,66326,0,0
188,Alice,Brown,2020,,2023,STEM,1148,91377,0,1
189,John,Johnson,2017,,,Non-STEM,949,44499,1,0
190,Sara,Jones,2015,,2017,Non-STEM,1298,39810,1,1
191,Alice,Miller,2020,,,STEM,1207,48492,1,1
192,Sara,Brown,2021,,2024,Non-STEM,1156,94781,0,0
193,Mike,Miller,2003,,,Non-STEM,1170,57110,1,0
194,Jane,Smith,2000,2004,,Non-STEM,1283,103899,0,0
195,Sara,Brown,2014,,,STEM,1217,60322,0,0
196,Alice,Miller,2021,2025,,Non-STEM,1319,77315,0,1
197,Alice,Miller,2004,2008,,STEM,1217,37594,1,0
198,Mike,Miller,2016,2020,,STEM,858,80642,0,1
199,Sara,Smith,2016,,,STEM,827,56808,1,0
200,Sara,Johnson,2003,2007,,Non-STEM,1432,48807,1,1
201,Mike,Johnson,2000,,,STEM,1415,45169,1,1
202,Jane,Jones,2013,,2015,STEM,1200,24186,1,0
203,Sara,Jones,2021,,,Non-STEM,948,100147,0,1
204,Mike,Miller,2008,2012,,STEM,1049,63397,0,1
205,Tom,Jones,2017,2021,,STEM,948,63132,0,0
206,John,Miller,2010,,,Non-STEM,808,78657,0,1
207,Mike,Williams,2013,,,Non-STEM,937,74731,0,0
208,John,Williams,2016,,2017,Non-STEM,1003,154485,0,1
209,Alice,Smith,2003,,,STEM,1124,62427,0,1
210,John,Miller,2002,2006,,Non-STEM,670,59720,1,0
211,Mike,Johnson,2011,,,STEM,1312,121101,0,0
212,Jane,Smith,2001,,2002,Non-STEM,900,36619,1,0
213,John,Williams,2001,,2002,Non-STEM,853,79145,0,0
214,Jane,Jones,2013,2017,,Non-STEM,1154,12311,1,0
215,Mike,Miller,2008,2012,,STEM,1094,52270,1,0
216,Sara,Smith,2003,,2006,Non-STEM,894,109181,0,0
217,John,Williams,2021,,2024,Non-STEM,1437,88089,0,1
218,Mike,Jones,2009,,2012,STEM,1324,101250,0,1
219,Tom,Jones,2000,2004,,Non-STEM,1468,56914,1,1
220,John,Brown,2013,,,STEM,1111,100990,0,1
221,Mike,Johnson,2022,,2024,Non-STEM,1287,102818,0,1
222,Alice,Williams,2009,,2010,STEM,787,67278,0,1
223,Mike,Johnson,2011,2015,,STEM,984,50322,1,1
224,Mike,Smith,2016,,,STEM,804,25677,1,1
225,John,Miller,2015,,2018,STEM,921,74570,0,0
226,John,Williams,2023,,2025,Non-STEM,1337,71151,0,0
227,Tom,Brown,2003,,2004,Non-STEM,1107,139207,0,1
228,Alice,Miller,2020,,2023,STEM,1005,52769,1,0
229,John,Smith,2012,2016,,STEM,1226,30289,1,1
230,John,Miller,2009,,2011,Non-STEM,850,59454,1,1
231,Sara,Johnson,2019,2023,,Non-STEM,1242,59230,1,1
232,Alice,Miller,2016,2020,,Non-STEM,796,90476,0,1
233,Tom,Smith,2013,,,STEM,1107,43307,1,1
234,Alice,Brown,2010,,,STEM,963,120349,0,1
235,John,Jones,2015,,,STEM,1068,53085,1,0
236,Sara,Miller,2019,,,STEM,1051,19606,1,1
237,Jane,Smith,2009,,2011,Non-STEM,901,33271,1,0
238,Jane,Brown,2002,2006,,STEM,1211,120644,0,1
239,Alice,Johnson,2002,2006,,Non-STEM,746,87760,0,0
240,Alice,Johnson,2020,,,STEM,1091,128426,0,0
241,John,Miller,2016,,2017,Non-STEM,979,0,1,0
242,John,Williams,2000,,2001,STEM,1027,118226,0,0
243,Tom,Smith,2019,,,Non-STEM,1104,26795,1,1
244,Tom,Miller,2008,,2011,Non-STEM,1294,21959,1,1
245,Sara,Miller,2000,2004,,STEM,1188,0,1,0
246,Tom,Johnson,2004,,2006,Non-STEM,959,69321,0,0
247,Jane,Brown,2008,2012,,STEM,1169,59231,1,0
248,Jane,Jones,2004,,,STEM,1279,87174,0,0
249,Alice,Miller,2012,,2015,Non-STEM,1315,100402,0,1
250,Mike,Williams,2001,2005,,STEM,820,42849,1,1
251,Sara,Johnson,2018,,2020,Non-STEM,993,113984,0,1
252,Alice,Jones,2016,,,STEM,1195,107136,0,1
253,Alice,Miller,2006,2010,,Non-STEM,1600,118627,0,1
254,Jane,Smith,2023,,,STEM,1227,106729,0,1
255,Alice,Brown,2008,,2009,STEM,1117,77573,0,1
256,Alice,Miller,2023,,2025,Non-STEM,629,144564,0,1
257,Sara,Brown,2004,2008,,STEM,1283,88884,0,0
258,Tom,Williams,2021,,,STEM,957,98219,0,1
259,Sara,Smith,2022,,,Non-STEM,1047,102366,0,0
260,John,Jones,2018,,2021,STEM,1336,77089,0,1
261,John,Johnson,2009,2013,,STEM,714,121335,0,0
262,Mike,Brown,2005,,,Non-STEM,950,67594,0,0
263,Jane,Williams,2021,,,STEM,1029,74686,0,1
264,Sara,Brown,2009,,,STEM,1206,104689,0,0
265,Sara,Jones,2023,2027,,STEM,901,64403,0,1
266,Jane,Williams,2008,,,STEM,1034,79772,0,0
267,John,Smith,2002,,,STEM,1378,71414,0,0
268,Mike,Johnson,2008,,2009,STEM,1242,82898,0,0
269,Sara,Johnson,2008,,,Non-STEM,648,97917,0,1
270,Tom,Brown,2009,2013,,Non-STEM,708,93304,0,1
271,Sara,Miller,2008,,2011,Non-STEM,685,64671,0,0
272,Sara,Brown,2023,,2025,STEM,1019,97275,0,1
273,Alice,Brown,2012,2016,,STEM,755,80528,0,0
274,John,Johnson,2011,,2014,STEM,859,17094,1,1
275,Tom,Williams,2009,2013,,STEM,1053,107448,0,1
276,Mike,Smith,2003,,,STEM,997,86898,0,0
277,Alice,Jones,2011,,2014,Non-STEM,1488,101638,0,1
278,Jane,Johnson,2020,2024,,Non-STEM,1121,83894,0,1
279,Mike,Johnson,2016,,2019,Non-STEM,961,137671,0,1
280,Alice,Jones,2017,2021,,Non-STEM,1188,50803,1,1
281,Jane,Smith,2019,,,Non-STEM,819,43159,1,1
282,Tom,Brown,2005,2009,,Non-STEM,1038,58512,1,1
283,Alice,Williams,2023,2027,,Non-STEM,610,59934,1,0
284,Sara,Smith,2006,,,STEM,935,15430,1,1
285,Jane,Miller,2016,2020,,Non-STEM,983,106074,0,0
286,Sara,Williams,2007,2011,,STEM,1116,152489,0,1
287,Tom,Johnson,2021,,2024,Non-STEM,857,50976,1,1
288,Alice,Jones,2014,,2017,Non-STEM,878,48128,1,1
289,John,Williams,2020,2024,,STEM,886,58407,1,0
290,Sara,Johnson,2006,2010,,STEM,877,96486,0,1
291,Sara,Williams,2002,2006,,STEM,1196,92220,0,0
292,Jane,Smith,2013,,,STEM,1030,95968,0,0
293,Tom,Miller,2018,,2020,STEM,1089,69160,0,0
294,Jane,Miller,2004,2008,,STEM,1187,62378,0,1
295,John,Johnson,2017,2021,,Non-STEM,1004,128376,0,1
296,Alice,Williams,2012,,2015,Non-STEM,1150,65127,0,1
297,Mike,Smith,2009,,,STEM,1137,106290,0,1
298,John,Jones,2013,,2015,STEM,981,97953,0,1
299,John,Smith,2016,,2019,Non-STEM,698,104835,0,1
300,Jane,Jones,2015,,,Non-STEM,1052,90225,0,1
301,Sara,Brown,2015,,,STEM,807,48259,1,1
302,Mike,Miller,2007,2011,,Non-STEM,1235,93431,0,0
303,John,Miller,2022,2026,,Non-STEM,1225,93592,0,0
304,Sara,Brown,2006,2010,,STEM,1033,20290,1,0
305,Mike,Brown,2019,2023,,Non-STEM,931,90340,0,1
306,Alice,Miller,2006,,,Non-STEM,1401,58203,1,0
307,Tom,Johnson,2017,2021,,Non-STEM,660,51356,1,1
308,Alice,Miller,2019,,,STEM,1091,51880,1,1
309,Alice,Johnson,2021,2025,,Non-STEM,1082,51249,1,1
310,Mike,Johnson,2002,2006,,Non-STEM,898,88216,0,1
311,Mike,Johnson,2005,2009,,STEM,771,74184,0,1
312,Jane,Jones,2000,2004,,STEM,1135,55696,1,1
313,Mike,Smith,2003,,2005,STEM,798,124735,0,1
314,Alice,Jones,2012,,,Non-STEM,1530,61457,0,1
315,Tom,Smith,2017,,2019,STEM,877,47119,1,0
316,Tom,Brown,2016,2020,,STEM,1275,73247,0,0
317,Jane,Jones,2015,,2017,STEM,1013,29217,1,1
318,John,Brown,2001,,2002,STEM,994,35894,1,1
319,Sara,Brown,2005,2009,,Non-STEM,793,121404,0,1
320,John,Brown,2003,,2004,STEM,944,43808,1,1
321,John,Miller,2004,,2006,Non-STEM,1326,62649,0,0
322,Alice,Jones,2017,2021,,STEM,957,49086,1,1
323,Alice,Jones,2019,2023,,STEM,1080,62038,0,1
324,Alice,Brown,2003,,,STEM,1285,61017,0,0
325,Jane,Smith,2023,,2025,STEM,941,63198,0,1
326,John,Jones,2023,,,STEM,1288,70109,0,1
327,Jane,Jones,2001,2005,,Non-STEM,1164,50650,1,1
328,John,Johnson,2017,,2020,STEM,980,56289,1,1
329,John,Miller,2007,2011,,STEM,1222,44724,1,1
330,Sara,Smith,2002,2006,,Non-STEM,895,67296,0,1
331,Jane,Jones,2021,,,STEM,1165,132605,0,0
332,Sara,Brown,2004,,,Non-STEM,595,64682,0,0
333,Mike,Miller,2001,,,STEM,875,89791,0,0
334,Mike,Miller,2018,2022,,Non-STEM,962,76117,0,1
335,Alice,Miller,2022,2026,,Non-STEM,1073,90223,0,1
336,John,Miller,2000,2004,,Non-STEM,969,53338,1,0
337,Sara,Smith,2013,,,Non-STEM,1600,90844,0,0
338,Alice,Johnson,2016,,2017,STEM,1097,77662,0,0
339,Sara,Johnson,2018,,2019,Non-STEM,1192,124185,0,1
340,John,Williams,2001,,2003,STEM,799,63377,0,0
341,Jane,Jones,2000,,2003,STEM,1331,107404,0,0
342,Sara,Miller,2012,,2014,Non-STEM,1482,65202,0,1
343,Mike,Johnson,2002,2006,,Non-STEM,1037,122424,0,1
344,Alice,Smith,2021,,2022,Non-STEM,954,75306,0,1
345,Jane,Smith,2023,,2025,Non-STEM,854,96715,0,0
346,Mike,Brown,2007,,2010,STEM,952,83639,0,1
347,Mike,Miller,2006,2010,,Non-STEM,1017,47058,1,1
348,Tom,Williams,2012,,2014,STEM,1070,90049,0,1
349,John,Jones,2011,,,Non-STEM,886,61065,0,0
350,Jane,Johnson,2008,,,STEM,1189,61464,0,1
351,Tom,Brown,2019,2023,,STEM,1435,93443,0,1
352,Sara,Jones,2001,2005,,Non-STEM,942,73053,0,1
353,John,Jones,2016,,2019,STEM,986,54480,1,0
354,Alice,Johnson,2013,2017,,Non-STEM,1435,68324,0,1
355,John,Jones,2019,,2022,Non-STEM,1414,96424,0,1
356,John,Brown,2000,2004,,Non-STEM,1013,60683,0,1
357,Alice,Smith,2017,2021,,STEM,1265,88572,0,1
358,Jane,Williams,2009,,2010,Non-STEM,1382,88405,0,1
359,Tom,Johnson,2004,,,Non-STEM,1049,39928,1,0
360,Jane,Johnson,2005,,,STEM,905,71422,0,1
361,Sara,Williams,2017,,,Non-STEM,1394,62450,0,1
362,Tom,Jones,2020,,2023,Non-STEM,1115,85909,0,1
363,Sara,Smith,2007,2011,,STEM,848,137502,0,0
364,Sara,Smith,2012,,,Non-STEM,946,38487,1,1
365,Alice,Brown,2000,,2003,STEM,1015,126940,0,1
366,Sara,Williams,2016,,,STEM,1318,44651,1,1
367,Alice,Williams,2011,,2012,Non-STEM,690,58522,1,1
368,John,Smith,2005,,,STEM,1209,60194,0,1
369,Mike,Brown,2015,2019,,Non-STEM,734,42645,1,1
370,Jane,Williams,2000,2004,,STEM,1165,73363,0,1
371,Sara,Miller,2015,,,STEM,1215,105964,0,0
372,Alice,Smith,2002,2006,,STEM,1020,64424,0,1
373,Tom,Williams,2005,2009,,Non-STEM,1272,93953,0,0
374,Alice,Miller,2018,2022,,STEM,1065,107227,0,0
375,Tom,Jones,2007,,2008,Non-STEM,861,68821,0,1
376,Mike,Johnson,2000,,,Non-STEM,887,73839,0,1
377,Tom,Brown,2018,,2021,STEM,1061,36404,1,1
378,Jane,Miller,2020,,,STEM,713,117652,0,1
379,Mike,Williams,2010,,,Non-STEM,1236,35644,1,1
380,John,Brown,2021,,,STEM,1118,90517,0,1
381,Jane,Smith,2001,,2002,STEM,930,62032,0,0
382,John,Jones,2008,2012,,Non-STEM,767,67599,0,1
383,Jane,Miller,2022,2026,,Non-STEM,1139,61600,0,1
384,Mike,Johnson,2009,2013,,STEM,1276,68567,0,1
385,John,Johnson,2022,2026,,STEM,835,69499,0,1
386,John,Johnson,2020,2024,,Non-STEM,1029,64904,0,1
387,Jane,Johnson,2020,2024,,Non-STEM,1146,78856,0,1
388,Mike,Jones,2015,2019,,Non-STEM,944,61555,0,0
389,Mike,Brown,2019,2023,,Non-STEM,1027,66259,0,0
390,Jane,Johnson,2013,2017,,Non-STEM,1000,54669,1,1
391,Alice,Smith,2016,,2018,STEM,1139,58924,1,0
392,John,Williams,2005,,,Non-STEM,788,78855,0,1
393,Sara,Jones,2023,,2026,STEM,1013,118264,0,0
394,John,Williams,2019,,,STEM,990,87093,0,1
395,Tom,Johnson,2023,2027,,Non-STEM,919,112447,0,0
396,Tom,Brown,2016,,2017,Non-STEM,1091,53060,1,1
397,Sara,Johnson,2021,,2022,STEM,1129,49837,1,1
398,John,Jones,2004,,2005,STEM,1278,81861,0,0
399,Tom,Brown,2010,,,Non-STEM,1030,64586,0,1
400,Sara,Smith,2006,,2009,Non-STEM,1311,92762,0,1
401,Alice,Williams,2001,,2004,STEM,1415,25699,1,0
402,Mike,Williams,2013,,,Non-STEM,873,111132,0,1
403,Tom,Smith,2002,,2004,Non-STEM,1043,79708,0,1
404,Mike,Brown,2003,,2006,Non-STEM,1183,65540,0,1
405,Mike,Smith,2018,,2020,STEM,869,32472,1,1
406,Mike,Johnson,2011,2015,,Non-STEM,989,68455,0,0
407,Jane,Miller,2004,,2006,Non-STEM,974,61676,0,0
408,Tom,Smith,2011,,2012,STEM,764,120096,0,0
409,Tom,Smith,2006,,,Non-STEM,904,138872,0,1
410,Mike,Williams,2006,,2007,STEM,1084,111017,0,0
411,Sara,Brown,2007,,2008,STEM,1260,116379,0,0
412,Sara,Johnson,2006,,2007,Non-STEM,914,49484,1,1
413,John,Brown,2020,,,Non-STEM,926,95685,0,1
414,Tom,Smith,2006,2010,,STEM,976,61569,0,0
415,John,Jones,2022,2026,,Non-STEM,716,0,1,1
416,Alice,Johnson,2017,2021,,STEM,859,90241,0,1
417,John,Miller,2000,2004,,STEM,1204,69954,0,1
418,Tom,Brown,2002,,2004,Non-STEM,1264,34539,1,1
419,Mike,Smith,2019,,2021,Non-STEM,795,63168,0,1
420,John,Williams,2022,,2023,STEM,1108,51816,1,1
421,Jane,Miller,2013,,2016,STEM,907,108716,0,1
422,Sara,Smith,2011,,2012,STEM,1037,85212,0,1
423,Jane,Johnson,2019,,2021,STEM,1322,111096,0,0
424,Alice,Smith,2001,2005,,STEM,1233,134010,0,0
425,Jane,Brown,2011,2015,,STEM,953,54210,1,0
426,Alice,Smith,2023,,2024,STEM,619,91307,0,0
427,Mike,Brown,2014,2018,,STEM,1069,112189,0,1
428,John,Brown,2011,,,Non-STEM,1277,12793,1,0
429,Sara,Jones,2013,,,Non-STEM,1132,97651,0,1
430,Tom,Williams,2014,,2017,STEM,1443,46175,1,0
431,Sara,Smith,2018,2022,,STEM,773,55087,1,1
432,John,Miller,2004,,2006,Non-STEM,1021,71401,0,0
433,Tom,Williams,2021,,2022,Non-STEM,713,58134,1,1
434,John,Brown,2009,2013,,STEM,1107,65723,0,0
435,Alice,Williams,2010,,,STEM,1067,83305,0,0
436,John,Jones,2022,2026,,STEM,1141,100579,0,1
437,John,Williams,2016,2020,,STEM,931,160101,0,1
438,Alice,Jones,2005,2009,,STEM,1480,91510,0,1
439,Sara,Smith,2019,2023,,STEM,903,105836,0,0
440,Mike,Jones,2012,2016,,Non-STEM,694,73742,0,0
441,John,Williams,2015,,2017,Non-STEM,1113,78795,0,0
442,Tom,Williams,2010,2014,,STEM,944,73040,0,1
